episode,timestep,episode_reward,episode_steps,avg_reward_100,alpha,q1_loss,q2_loss,actor_loss,alpha_loss,log_probs_mean,log_probs_min,log_probs_max,mu_mean,mu_min,mu_max,log_std_mean,log_std_min,log_std_max
1,1000,9.750469804777032,1000,9.750469804777032,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000,0.9461812059587479,1000,5.34832550536789,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3000,7.408746824717411,1000,6.03513261181773,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4000,10.12183447192334,1000,7.056808076844132,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5000,9.247878578251184,1000,7.495022177125543,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6000,6.101661563176138,1000,7.262795408133975,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7000,0.3959080736901422,1000,6.281811503213428,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8000,4.421062328566925,1000,6.049217856382615,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9000,2.4418513799322223,1000,5.648399358999239,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10000,11.433555455936764,1000,6.2269149686929905,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11000,6.539105042807933,1000,6.2552958845216216,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12000,5.592617781860053,1000,6.200072709299825,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13000,7.459778572457195,1000,6.29697316031193,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14000,4.873430679248617,1000,6.1952915545216936,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15000,6.844477951590959,1000,6.238570647659644,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16000,2.112836833671378,1000,5.980712284285377,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17000,2.7840841749019036,1000,5.792675336674584,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18000,5.451634680295645,1000,5.773728633542421,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19000,5.525046452604398,1000,5.760640097703578,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20000,5.0340173665529635,1000,5.724308961146047,0.5001500248908997,0.23984594345092775,0.24077208042144777,-0.09767744541168213,0.23047196865081787,-0.1924992322921753,-0.7086755275726319,0.0,9.114025160670281e-05,-0.001168719120323658,0.0013570402748882772,-0.07503519654273988,-0.07588008642196656,-0.07424278855323792
21,21000,0.696911672868884,1000,5.484909090275705,0.4349382519721985,0.1538021938276068,0.18521765223279185,-10.872979733862884,-1.5869277564323994,-14.233046708028152,-17.72417833762883,-10.606577260070125,0.0008131582359348173,-0.19580207592974608,0.18758760269772345,-0.08692699388394651,-0.309326164096038,0.5366218345996097
22,22000,6.9968661456299275,1000,5.553634410973625,0.37852829694747925,1.2309899196890834,1.2325229318078426,-16.622621092265558,-0.8933195532994564,-12.308868848666268,-23.150185357999007,-2.9787827281597012,0.3410066016006216,-2.769217183790969,3.921673145736837,0.626389542541598,-0.3015316764661503,1.8592652979535826
23,23000,5.119556407111959,1000,5.534761454283987,0.35852712392807007,1.3328180731696118,1.3321263564680508,-23.522684420059367,-0.4079647209260709,-11.265628536828558,-23.82679469428218,-1.5934671713409188,0.41903558878461833,-6.494316048327728,6.912016353119743,0.7690767736627943,0.103912115477464,1.9115547431876252
24,24000,9.15447804531381,1000,5.68558297891023,0.3416503071784973,1.461235756330066,1.4288233193658977,-30.027496052599584,-0.45657785718639565,-11.333401723063652,-23.934003483646233,-1.8759961938442422,0.15437905614312972,-7.477248701392973,7.162523081186278,0.8078760643100295,0.1470683887067921,1.8271295275057
25,25000,9.233866768755751,1000,5.8275143305040515,0.32257261872291565,1.249115727591254,1.6432387451134116,-35.81144889057438,-0.29828526136533273,-11.018429575161525,-23.15987915831266,-1.4095638427406958,0.09298739016844845,-9.289935990825498,8.967047476748686,0.7729875679272952,0.10542282496735779,1.8920732383229035
26,26000,10.963159478978726,1000,6.025039143906923,0.3032158613204956,1.5552861247680312,1.5046041025007033,-41.078171723450765,-0.3693592700378282,-11.107091019416984,-23.54581052563047,-1.3183709425143313,0.08693688900887987,-8.918707227967541,8.614075535785995,0.7633739907657028,0.11320082643462398,1.8671227212000971
27,27000,4.8882536904535705,1000,5.982935978964207,0.2819979786872864,1.4805125304764213,2.823396876039886,-45.600113581316194,-0.3383343774296818,-11.020454768186218,-23.30597780143609,-1.538370619118624,0.22991004776531354,-8.341529848425226,8.598398936778722,0.728083982136726,0.05992934212151739,1.8239313757311586
28,28000,5.4408141491913655,1000,5.963574485043749,0.26002606749534607,1.744020005116772,1.8982898586633046,-49.632463386786185,-0.2771191131505618,-10.916548016243128,-23.054027181821418,-1.5903470705416018,0.21419226517372725,-8.288429066659353,8.494342038662557,0.6770785574124499,0.06599822843339948,1.7010184810372766
29,29000,7.398455907777868,1000,6.013053154793201,0.24032388627529144,1.7390041761447366,1.4052895898517455,-53.06691949240058,-0.2985823017431682,-10.908281297065365,-23.417386426782436,-2.0296079604417017,0.10852667039822267,-8.875379095115722,8.693030852831779,0.6047103438534922,-0.01723088358418774,1.689133637026565
30,30000,0.27457665024895056,1000,5.821770604641726,0.22745822370052338,1.7467944329729492,2.124816665583804,-56.33386844628203,-0.09753394189585206,-10.622544029233106,-22.884379356013664,-1.2862080827046012,0.00870545097660896,-9.309478433781715,9.15496075647385,0.580269816435332,-0.08559797623677548,1.599902386506184
31,31000,1.1067979002950483,1000,5.669674710953124,0.2255462259054184,2.1265825373617595,1.7485430678834917,-59.43233848267806,-0.004493803576342392,-10.506441043856247,-24.01753906737863,-1.2444704243567024,0.029354663017394967,-10.309359678724881,10.310830592233748,0.5319939373587087,-0.17048641173471338,1.6965455560108849
32,32000,9.828876795428798,1000,5.799649776092988,0.22237466275691986,1.9135151523251297,1.4510841153552771,-62.29433924998915,-0.11449243447385755,-10.65632895355343,-22.641334621970486,-1.5441135234565266,0.04405057703841435,-10.008005776139592,10.640807870083488,0.49753466198016755,-0.15042047467119046,1.7572011983919236
33,33000,1.7403100375764426,1000,5.676639480986426,0.21441492438316345,1.6350196045366998,2.35717755013238,-64.76972100247681,-0.06795228592002844,-10.58368105763268,-22.941191348151982,-1.7311972444466015,0.07112877855198695,-9.533506541523156,10.287674183090168,0.4585889683652007,-0.1788138440266077,1.6519268829137654
34,34000,8.045389505269702,1000,5.7463085993476986,0.20854544639587402,2.111168656986171,3.9185522725120414,-67.11767247867627,0.006398009804096704,-10.494531977311066,-22.768855598793024,-1.4660471200891134,-0.02439287608183431,-10.702285605280684,11.027287325107737,0.4121286249096896,-0.22719331520536448,1.6864229949938154
35,35000,0.6695051235277324,1000,5.601257071467128,0.22240211069583893,2.019756003144349,1.9961490485822737,-69.67267295387616,0.03668790619747283,-10.449242057735315,-22.424654482107872,-1.4481433831610215,0.1418482852947302,-13.458341807207491,14.004479371638736,0.39886506676072997,-0.31768861584087976,1.8715937425825904
36,36000,10.519983124471475,1000,5.737888350717249,0.22028055787086487,1.949689849958167,2.64193681186065,-72.06670675476624,0.01318812286973296,-10.485196233158383,-23.26591549101461,-1.3535273360406495,0.1429800693753916,-10.895790822742288,11.496271564322438,0.37891307137855906,-0.32741774575914784,1.7854537933077193
37,37000,6.108213661558387,1000,5.747897142902144,0.22982840240001678,1.909907510590835,4.7871420385326875,-74.57241468636263,0.01366756274318037,-10.488896317497941,-22.62009312402862,-1.2238570008747418,0.0851290681008027,-12.606685120611935,13.021050116988057,0.38086067927196354,-0.3771042271748448,1.7004613714056982
38,38000,4.275622840755563,1000,5.7091530823193395,0.22953958809375763,1.956720704791528,2.988063718164388,-77.00744236277096,-0.009819904738668046,-10.510679748086774,-22.81215333980459,-1.336868172029256,0.052057750672717874,-10.740811145088514,11.137675172700996,0.3445275641827906,-0.3352132449503162,1.615081937229888
39,39000,14.378111392857623,1000,5.931434064640834,0.24372191727161407,2.4945772072119627,2.6563141447784053,-79.55825600521305,0.009143592866912163,-10.489579742415458,-22.220357281313145,-1.4354758604210698,0.09781472923927027,-12.60353874337488,12.237144056234813,0.34140975038306237,-0.38554823183801457,1.5932428585493004
40,40000,10.060306658405366,1000,6.034655879484947,0.24859648942947388,1.936600925177999,5.567676306642679,-82.0220911769979,-0.015798629041967247,-10.5193976874705,-22.4527526808411,-1.109337215504956,0.14579515079891253,-12.748094349127328,13.153260382624772,0.32844065441165365,-0.4255014093153919,1.6930158253017045
41,41000,5.760053257231988,1000,6.027958254551948,0.2511792778968811,2.0687696411467043,5.923917798431869,-84.50392877741983,0.0030182311305355118,-10.499304142853958,-22.791872102176594,-1.3302778751698843,0.10097096835434585,-14.193131465683914,14.009880628005687,0.3177279691378768,-0.4947828360762709,1.6287525999345918
42,42000,2.711603915499813,1000,5.948997436955469,0.2488260567188263,2.5697303962140534,3.0850673008666885,-87.02368560991628,0.016495499584123545,-10.481377123332681,-22.502608291140618,-1.406552246508204,0.08900038474578509,-12.396512930373808,12.572610524724311,0.2854903885978014,-0.503445645625253,1.569133953869838
43,43000,9.158618144802432,1000,6.0236397789984215,0.25889620184898376,3.1526024790578844,2.3406578444092676,-89.57602520245284,-0.04293132697076221,-10.561328890392316,-23.169517160939524,-1.4046214622080273,0.07211893794368171,-13.066175455433704,13.243256968289332,0.29692609430810374,-0.5573340893775742,1.6456820137195156
